Grau                                                        GRAU

Eng. Informàtica Superior                                   EI03
Eng. Tècnica Sistemes                                       ETS03
Eng. Tècnica Gestió                                         ETG03

Màster en Computació                                        MC
Màster en Tecnologies de la Informació                      MTI
Màster en Intel·ligència Artifical                          MIA
Màster en Arquitectura de Computadors, Xarxes i Sistemes    CANS
Màster Erasmus Mundus en Computació Distribuïda             EMDC
Màster en Enginyeria Informàtica                            MEI
